spend,age,income,years_of_education
3133.0,43.0,26722.0,16
3407.0,29.0,51987.0,15
2900.0,46.0,34443.0,12
3683.0,42.0,50200.0,13
3010.0,41.0,26544.0,15
3110.0,32.0,46869.0,10
2452.0,25.0,29839.0,15
4240.0,41.0,42109.0,17
3366.0,37.0,40156.0,16
2162.0,31.0,38924.0,12
3367.0,32.0,52904.0,13
3985.0,45.0,42942.0,14
2507.0,35.0,34312.0,15
2124.0,23.0,39385.0,10
3064.0,30.0,50854.0,13
3475.0,39.0,50216.0,16
3382.0,34.0,62137.0,14
2346.0,30.0,37062.0,13
2006.0,35.0,35172.0,10
3092.0,31.0,47503.0,10
2069.0,33.0,35190.0,11
4248.0,54.0,44631.0,17
3257.0,58.0,30225.0,16
3003.0,39.0,46711.0,10
3672.0,38.0,51681.0,17
3429.0,39.0,47910.0,14
3635.0,46.0,42833.0,10
1980.0,34.0,24257.0,11
3230.0,24.0,49541.0,13
3470.0,23.0,56276.0,15
3559.0,44.0,40099.0,11
3714.0,28.0,50494.0,17
3719.0,54.0,47511.0,13
2079.0,34.0,29889.0,10
2613.0,33.0,35076.0,16
3349.0,34.0,40033.0,13
2560.0,30.0,30195.0,16
2418.0,43.0,31931.0,10
3775.0,37.0,50493.0,16
3051.0,26.0,49595.0,12
3512.0,34.0,66042.0,14
2420.0,39.0,35792.0,14
1961.0,39.0,32887.0,11
2092.0,34.0,29636.0,12
2648.0,40.0,25423.0,11
3622.0,31.0,52557.0,17
2428.0,32.0,35818.0,13
2437.0,33.0,39935.0,15
3613.0,38.0,44836.0,17
3785.0,52.0,54869.0,14
2915.0,41.0,30276.0,15
2634.0,38.0,31741.0,16
3304.0,33.0,40068.0,12
3910.0,58.0,50040.0,13
2208.0,34.0,29575.0,12
3773.0,44.0,64377.0,12
2065.0,37.0,29017.0,10
3585.0,27.0,44447.0,15
3619.0,33.0,52866.0,15
2476.0,44.0,29301.0,11
3315.0,27.0,42294.0,13
3138.0,48.0,35268.0,16
2479.0,51.0,22236.0,10
2780.0,43.0,30217.0,12
4175.0,40.0,54456.0,17
2842.0,52.0,16365.0,13
2198.0,39.0,37015.0,12
2177.0,40.0,39277.0,12
3875.0,28.0,40982.0,17
3487.0,46.0,48913.0,10
2259.0,33.0,32193.0,12
1990.0,35.0,34778.0,10
4107.0,57.0,41117.0,15
3049.0,51.0,35306.0,17
3487.0,41.0,49210.0,10
2875.0,48.0,24401.0,12
3514.0,38.0,46764.0,15
3625.0,50.0,44231.0,10
4325.0,42.0,51290.0,17
3268.0,36.0,56400.0,12
3748.0,31.0,50641.0,16
3866.0,47.0,42256.0,16
3644.0,46.0,54016.0,11
2922.0,38.0,52534.0,10
2489.0,36.0,37017.0,17
2797.0,48.0,36876.0,13
2147.0,34.0,19223.0,12
2200.0,39.0,11247.0,13
2427.0,18.0,27856.0,15
3711.0,42.0,52659.0,12
3282.0,48.0,38708.0,17
2433.0,47.0,24741.0,10
3041.0,48.0,33580.0,15
2159.0,33.0,30485.0,12
3413.0,44.0,54350.0,10
2517.0,38.0,28030.0,14
2854.0,45.0,33472.0,13
3389.0,24.0,50674.0,13
3121.0,30.0,50103.0,11
3237.0,30.0,50350.0,11
3864.0,41.0,62894.0,14
4422.0,48.0,40900.0,17
3090.0,39.0,43585.0,13
2099.0,37.0,39251.0,10
2747.0,44.0,23670.0,13
3420.0,29.0,40906.0,13
3011.0,42.0,33388.0,14
3805.0,62.0,48381.0,13
3106.0,42.0,35495.0,16
3568.0,44.0,46800.0,11
2739.0,49.0,33935.0,12
3450.0,42.0,34895.0,17
3047.0,41.0,39177.0,14
3531.0,33.0,48516.0,16
3407.0,20.0,43972.0,15
2405.0,33.0,37775.0,14
3510.0,26.0,43994.0,15
3243.0,33.0,45553.0,10
3558.0,26.0,52081.0,14
2983.0,34.0,47069.0,11
3569.0,44.0,50592.0,10
2931.0,42.0,32561.0,16
2732.0,41.0,36512.0,12
2380.0,43.0,18131.0,10
3550.0,44.0,42910.0,13
4100.0,45.0,54407.0,16
3739.0,56.0,45123.0,14
