Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
No Churn,0,63467,22123,56112.6667,33,0.13831519,Silver,Billing Problem,18.2,0,0,6,1,0
No Churn,0,20105,25447.3333,68223.6667,33,0.42389525,Silver,Moving,4,0,0,8,1,0
Churn,1,48332,14210,60386.3333,15,-0.1992872,Silver,Billing Problem,16.5,0,0,8,1,0
No Churn,0,14407,1151.66667,28066,33,0.10554562,Silver,Billing Problem,7.4,0,0,10,1,0
Churn,1,21658,20955.6667,41910,33,-0.1427121,Silver,Billing Problem,22.2,0,0,18,1,0
Churn,1,20339,4928.66667,21780,17,-0.9543677,Silver,Call Quality,9,0,0,4,1,0
No Churn,0,9239,7669,51617.6667,33,-0.7393509,Silver,Billing Problem,9.3,0,0,33,1,0
No Churn,0,23549,28044.3333,45265,33,0.42754368,Silver,Billing Problem,4.5,0,0,1,1,0
Churn,1,5813,1273.33333,17434,16,-0.2173913,Gold,Billing Problem,29.5,0,0,13,1,0
No Churn,0,10169,3670.33333,14783,33,0.20869565,Silver,Call Quality,27.6,0,0,20,1,0
No Churn,0,30755,12272.3333,12648.3333,33,-0.8947368,Gold,Billing Problem,5.7,0,0,33,1,0
Churn,1,10169,551,8827.66667,33,-0.1,Silver,Billing Problem,30.6,0,0,10,1,0
Churn,1,19073,1,2879,33,0,Silver,Call Quality,25,0,0,11,1,0
Churn,1,15167,25778.6667,36927.6667,33,-0.6356576,Silver,Call Quality,18.2,0,0,4,1,0
No Churn,0,14561,16622,57009.3333,33,0.12280702,Silver,Billing Problem,13.9,0,0,6,1,0
No Churn,0,25862,6935.33333,113118,33,-0.0716612,Silver,Billing Problem,8,0,0,33,1,0
No Churn,0,39489,6582.33333,65121.6667,33,-0.4414226,Silver,Billing Problem,0,0,0,33,1,0
No Churn,0,16583,9565,30173,33,0.21377331,Silver,Billing Problem,13.5,0,0,33,1,0
Churn,1,7573,243,13885.3333,33,-1,Gold,Billing Problem,29,0,0,33,1,0
No Churn,0,14048,1591.33333,4142.66667,33,-0.4285714,Silver,Billing Problem,2,0,0,24,1,0
Churn,1,15008,7953.66667,19995.6667,33,-1,Silver,Call Quality,17,0,0,8,1,0
Churn,1,11998,2514.33333,7315,33,-1,Silver,Call Quality,22,0,0,11,1,0
No Churn,0,33778,48953.3333,113128.333,33,0.43931282,Silver,Check Account,0,0,0,5,1,0
No Churn,0,12814,8193.33333,36008,32,0.47803843,Silver,Billing Problem,4.3,0,0,4,1,0
Churn,1,3857,92.6666667,210,32,1,Gold,Billing Problem,12.6,0,0,6,1,0
No Churn,0,16129,2351.33333,49742.3333,17,0.54,Silver,Call Quality,13.8,0,0,8,1,0
No Churn,0,10912,2226.66667,4430.66667,32,-0.5540541,Gold,Billing Problem,5.8,0,0,6,1,0
No Churn,0,15470,3080.33333,26651.3333,32,-0.2575758,Silver,Billing Problem,24.8,0,0,20,1,0
Churn,1,29232,17595.3333,44468.6667,32,-0.3522727,Silver,Call Quality,29,0,0,9,1,0
No Churn,0,25628,780.666667,28412.3333,32,-0.3918422,Silver,Billing Problem,6,0,0,35,1,0
No Churn,0,23644,2162.33333,58037,32,0.58117647,Silver,Billing Problem,10.7,0,0,13,1,0
No Churn,0,21679,12390,61270.6667,32,-0.2870264,Silver,Billing Problem,3.2,0,0,5,1,0
No Churn,0,15903,4623,37225.6667,32,0.1199095,Silver,Billing Problem,3,0,0,12,1,0
No Churn,0,60079,33395,96857,32,0.00641959,Silver,Billing Problem,26.3,0,0,8,1,0
No Churn,0,17274,8599.66667,36318.3333,32,1.50895141,Silver,Billing Problem,25.4,0,0,6,1,0
No Churn,0,60708,43167.3333,133645,29,0.11139724,Silver,Billing Problem,2.7,0,4,8,1,0
No Churn,0,16166,9688,16629.6667,21,-0.9465347,Silver,Call Quality,27.3,0,0,7,1,0
Churn,1,25375,1193.33333,51913.6667,32,-0.3948127,Silver,Billing Problem,13.3,0,0,18,1,0
Churn,1,15056,1013.66667,9955.33333,32,2.71641791,Gold,Billing Problem,24.8,0,0,4,1,0
No Churn,0,10617,2516.33333,25152,32,-0.372093,Silver,Check Account,0,0,0,32,1,0
No Churn,0,17142,10985.3333,28759.3333,32,0.18471338,Silver,Check Account,0,0,0,32,1,0
Churn,1,92441,11206,42666.6667,32,0.07351639,Silver,Billing Problem,27.3,0,0,11,1,0
Churn,1,21186,1409.33333,25886.3333,20,-0.3372093,Silver,Billing Problem,8.5,0,0,9,1,0
Churn,1,29734,1574.33333,15803,20,-0.3372093,Silver,Billing Problem,8.5,0,0,9,1,0
Churn,1,20103,11477,38942.3333,32,-0.4791319,Silver,Billing Problem,19,0,0,17,1,0
No Churn,0,17981,4330.66667,4962.66667,32,0.0964467,Gold,Billing Problem,3.5,0,0,12,1,0
No Churn,0,13238,16823.6667,11566.3333,32,0.1625,Silver,Billing Problem,3.5,0,0,32,1,0
Churn,1,3436,4,2567,32,-1,Gold,Call Quality,16.4,0,0,13,1,0
Churn,1,16838,7666.66667,12663.6667,32,-1,Gold,Call Quality,7.2,0,0,12,1,0
No Churn,0,11828,1483.33333,21396.3333,32,0.4813278,Silver,Check Account,0,0,0,13,1,0
No Churn,0,12524,10662.3333,31879.6667,32,0.02046036,Silver,Billing Problem,4,0,4,21,1,0
No Churn,0,29602,9178,43050.3333,32,-0.3423105,Silver,Billing Problem,6.5,0,0,6,1,0
Churn,1,3347,0,0,32,0,Gold,Billing Problem,7.8,0,0,17,1,0
Churn,1,14407,8594,23005,32,-0.9772727,Silver,Billing Problem,14.9,0,0,8,1,0
No Churn,0,26812,1448.33333,7508.33333,32,0.27064171,Silver,Billing Problem,16.5,0,0,2,1,0
Churn,1,57608,38105.6667,121755,32,-0.8241583,Silver,Billing Problem,15.9,0,0,14,1,0
No Churn,0,19464,7258.33333,41808.3333,32,1.3262519,Silver,Check Account,0,0,0,5,1,0
No Churn,0,8208,465.666667,3947.33333,32,-0.9230769,Gold,Billing Problem,5,0,0,7,1,0
Churn,1,16074,1687,9940.33333,32,-1,Gold,Call Quality,23,0,222,5,1,0
Churn,1,8696,0,0,20,0,Silver,Billing Problem,24.8,0,0,17,1,0
No Churn,0,21186,5227.33333,46258.6667,32,0.23336372,Silver,Moving,6,0,0,10,1,0
No Churn,0,11981,4973.33333,9738.33333,32,0.44827586,Gold,Billing Problem,5.7,0,0,12,1,0
Churn,1,23725,6302,18728.3333,32,-1,Silver,Billing Problem,18.8,0,0,32,1,0
No Churn,0,16862,2943,21560,32,-0.2361963,Silver,Billing Problem,4.3,0,0,4,1,0
No Churn,0,18666,4163.33333,75447.6667,32,-0.1865134,Silver,Moving,2.5,0,0,5,1,0
No Churn,0,59121,41.6666667,3299.33333,32,-1,Gold,Billing Problem,19.8,0,0,11,1,0
Churn,1,18082,21912,127144,17,-0.3757589,Silver,Billing Problem,32.2,0,0,3,1,0
No Churn,0,14407,11337.3333,64706,32,-0.2043682,Silver,Moving,4,0,0,5,1,0
Churn,1,10169,698.333333,7954.33333,32,0.26315789,Silver,Call Quality,50.5,0,0,28,1,0
No Churn,0,28436,34624.3333,93111,32,-0.2372944,Silver,Billing Problem,2.8,0,0,1,1,0
No Churn,0,31288,5791,50903.3333,32,-0.0325733,Silver,Billing Problem,4,0,0,32,1,0
No Churn,0,15254,1760,12619.6667,32,-0.0875653,Silver,Billing Problem,3,0,0,32,1,0
No Churn,0,20987,17574.3333,52149.3333,17,-0.0553191,Silver,Billing Problem,14.5,0,0,2,1,0
No Churn,0,10672,5180.66667,12062.3333,32,-0.119186,Silver,Billing Problem,21,0,0,21,1,0
Churn,1,21983,2865,25877.6667,24,-1,Silver,Call Quality,15.3,0,0,13,1,0
Churn,1,70081,10284.6667,62178.3333,32,-1,Silver,Call Quality,8.7,0,0,32,1,0
Churn,1,14795,9457.66667,65242.6667,32,-0.3757962,Silver,Billing Problem,19.2,0,0,4,1,0
No Churn,0,3398,956,1832.66667,32,-0.3225806,Gold,Call Quality,42.7,0,0,17,1,0
Churn,1,12817,1920.33333,9523,32,0.83369565,Silver,Billing Problem,7.7,0,0,16,1,0
Churn,1,3347,1190.33333,3818.66667,32,-0.88,Gold,Billing Problem,56.5,0,0,10,1,0
Churn,1,23142,10073.3333,17249.6667,32,-0.1447084,Silver,Billing Problem,6.1,0,0,20,1,0
No Churn,0,5714,412,3432.66667,32,0.875,Gold,Billing Problem,0,0,0,32,1,0
No Churn,0,18462,27623.6667,55732.6667,32,-0.0318949,Silver,Billing Problem,6.2,0,0,11,1,0
No Churn,0,12775,1645.66667,48740.6667,32,-0.3188908,Silver,Billing Problem,9,0,0,10,1,0
No Churn,0,12924,4641,9506.33333,32,-0.6111111,Gold,Billing Problem,15.7,0,0,7,1,0
No Churn,0,19700,7315,35456.6667,32,0.21661238,Silver,Billing Problem,11.8,0,0,9,1,0
No Churn,0,43751,5683,30201.6667,29,-0.2724175,Silver,Billing Problem,21.2,0,0,1,1,0
Churn,1,8205,1172.66667,7766.33333,32,-0.8672566,Gold,Billing Problem,17.8,0,0,3,1,0
Churn,1,20817,6538,105685.333,26,-0.3776634,Silver,Billing Problem,17.4,0,0,5,1,0
Churn,1,26477,45639,198411,32,-0.8169197,Silver,Billing Problem,31.7,0,0,1,1,0
No Churn,0,7344,3421.66667,8574.33333,32,-0.1741573,Gold,Billing Problem,5.7,0,0,11,1,0
No Churn,0,12508,3314.66667,18184,16,0.23763894,Silver,Moving,8,0,0,16,1,0
Churn,1,12712,8401.66667,26128,32,-0.8715596,Silver,Billing Problem,12,0,0,5,1,0
No Churn,0,12712,5344,37651.3333,24,-0.1748252,Silver,Check Account,0,0,0,3,1,0
No Churn,0,25424,3898.66667,18224.6667,32,0.06181946,Silver,Moving,0,0,0,26,1,0
No Churn,0,10244,1130,11391.3333,32,0.10588658,Silver,Moving,4.6,0,0,4,1,0
Churn,1,21716,15305,60280.3333,32,-0.9885838,Silver,Billing Problem,11.5,0,29,9,1,0
No Churn,0,15381,15833.6667,43144.6667,32,-0.3210775,Silver,Billing Problem,1.3,0,0,3,1,0
Churn,1,2847,0,131.333333,23,0,Gold,Call Quality,40,0,0,17,1,0
No Churn,0,17186,8114.66667,20833.3333,32,1.13870968,Silver,Billing Problem,1.8,0,0,14,1,0
No Churn,0,13403,11019,42110.6667,32,-0.2964169,Silver,Billing Problem,4.7,0,0,32,1,0
Churn,1,58782,34671,175702.333,32,-1,Silver,Billing Problem,24.4,0,0,17,1,0
No Churn,0,12288,4124,17276.3333,32,0.85015575,Silver,Call Quality,23.5,0,0,33,1,0
No Churn,0,23500,13748.3333,78191.6667,32,0.16117647,Silver,Billing Problem,17.2,0,0,6,1,0
Churn,1,15254,4850.33333,19337.6667,16,-0.1362911,Silver,Billing Problem,5,0,0,18,1,0
Churn,1,11609,1711,31947,21,-0.7052927,Silver,Billing Problem,15,0,0,8,1,0
No Churn,0,14407,1530.33333,16369.3333,32,-0.5609756,Silver,Billing Problem,8,0,0,12,1,0
Churn,1,15043,4935.66667,15769,32,-0.2208171,Silver,Billing Problem,35,0,0,19,1,0
No Churn,0,9066,7569.66667,22169,32,-0.2883826,Silver,Billing Problem,13.7,0,0,32,1,0
No Churn,0,14407,8110.33333,34258,32,0.04577465,Silver,Moving,16,0,0,19,1,0
No Churn,0,10169,2374.66667,16300.3333,32,-0.1325301,Silver,Billing Problem,2.5,0,0,12,1,0
No Churn,0,14407,5846,10669.6667,32,0.03080569,Silver,Billing Problem,1.7,0,0,11,1,0
Churn,1,25952,4008,38059,32,-1,Silver,Call Quality,26,0,0,1,1,0
Churn,1,14407,6242.66667,17285,32,-0.2893204,Silver,Billing Problem,9.6,0,0,19,1,0
No Churn,0,21436,26317.3333,85842.3333,32,-0.2153518,Silver,Billing Problem,1.7,0,0,10,1,0
Churn,1,24275,32837.6667,103610.667,15,-0.9741309,Silver,Billing Problem,27.4,0,0,21,1,0
No Churn,0,12288,279.666667,5058.33333,32,-0.04,Silver,Billing Problem,8.7,0,0,5,1,0
Churn,1,12966,2239,72421.6667,32,-0.2464899,Silver,Billing Problem,16.4,0,0,3,1,0
No Churn,0,27778,1712.33333,6971.33333,32,0.40425532,Silver,Billing Problem,17.3,0,0,30,1,0
Churn,1,7250,712,3097,32,-0.2435644,Silver,Billing Problem,16.4,0,0,18,1,0
Churn,1,9438,6578,21097.6667,32,1.41525424,Gold,Billing Problem,40,0,0,11,1,0
Churn,1,10593,55.3333333,2328,32,-1,Gold,Call Quality,32.3,0,0,13,1,0
No Churn,0,30791,8462.66667,56859,32,0.13325608,Silver,Billing Problem,6.8,0,0,11,1,0
Churn,1,15812,0,0,32,0,Gold,Call Quality,38.5,0,0,17,1,0
Churn,1,25121,1528,27706.3333,32,-0.12275,Silver,Billing Problem,7.3,0,0,4,1,0
No Churn,0,10169,6575.66667,22008,31,-0.8316327,Silver,Call Quality,19.3,0,0,17,1,0
Churn,1,14407,9669,28167.3333,20,-0.2057819,Silver,Billing Problem,21,0,0,9,1,0
No Churn,0,15491,1228.33333,278.333333,31,-1,Gold,Billing Problem,8.7,0,0,7,1,0
No Churn,0,3347,70.6666667,6,31,0,Gold,Billing Problem,0,0,0,17,1,0
No Churn,0,14480,7391.33333,13849,31,0,Gold,Billing Problem,0,0,0,0,1,0
No Churn,0,8570,4391.66667,10883,31,2.76404494,Silver,Call Quality,4.7,0,0,19,1,0
Churn,1,4263,0,1951.66667,31,0,Gold,Call Quality,16.3,0,0,18,1,0
No Churn,0,14595,8715.66667,14534.3333,31,0.2606383,Gold,Check Account,44,0,0,7,1,0
Churn,1,14389,21116.3333,48043.3333,31,0.77452519,Silver,Call Quality,11.7,0,0,4,1,0
Churn,1,27004,7293,22624.3333,31,-1,Gold,Call Quality,26.4,0,0,8,1,0
No Churn,0,12712,16920,54217.6667,31,-0.3146552,Silver,Billing Problem,11,0,0,1,1,0
Churn,1,14642,10459.6667,42680.3333,31,-0.3767313,Silver,Billing Problem,18.8,0,0,12,1,0
Churn,1,7717,4169.33333,13276,31,-0.1956522,Gold,Call Quality,23.8,0,0,32,1,0
Churn,1,19908,4116.33333,14445.6667,31,-0.5830116,Silver,Billing Problem,27.3,0,0,14,1,0
Churn,1,8401,4144.33333,15278.3333,31,-0.5830116,Silver,Billing Problem,27.3,0,0,14,1,0
Churn,1,4569,6778.66667,24333.6667,31,-0.8300781,Gold,Billing Problem,10.2,0,0,11,1,0
Churn,1,114312,12196,43124,31,-1,Gold,Billing Problem,10.4,0,0,37,1,0
No Churn,0,10169,2294.66667,11450.3333,31,0.88359611,Silver,Moving,7,0,0,1,1,0
No Churn,0,14546,2770,14893,31,2.34450549,Silver,Billing Problem,10.3,0,0,1,1,0
No Churn,0,20339,39400.6667,134457.667,31,-0.3553693,Silver,Billing Problem,12.8,0,0,3,1,0
Churn,1,4953,7521,26815.6667,31,-0.5063291,Gold,Billing Problem,15.5,0,0,3,1,0
No Churn,0,5210,621,6862.33333,31,-0.1111111,Gold,Call Quality,31.8,0,0,31,1,0
Churn,1,21919,9274.33333,47560.6667,31,-1,Silver,Call Quality,34.4,0,0,11,1,0
No Churn,0,45489,10080.6667,34015,31,0.05154639,Silver,Billing Problem,13.8,0,0,4,1,0
Churn,1,8794,3964.33333,78306.6667,31,-0.2754237,Gold,Billing Problem,25.8,0,0,6,1,0
Churn,1,4368,804,4859,31,-0.2754237,Gold,Billing Problem,25.8,0,0,6,1,0
No Churn,0,53160,18067.6667,148872.667,31,-0.1440543,Silver,Billing Problem,18.3,0,0,10,1,0
No Churn,0,5960,3548,2399.33333,31,0.26804124,Gold,Billing Problem,1.7,0,0,7,1,0
Churn,1,6172,0,0,31,0,Gold,Call Quality,14.8,0,0,17,1,0
No Churn,0,14566,7917.33333,23459.6667,31,0.13162119,Silver,Billing Problem,7.4,0,0,13,1,0
No Churn,0,27237,11843.3333,23743.3333,31,0.17973805,Silver,,25.8,0,0,18,1,0
Churn,1,14407,14965,45437.3333,31,-0.3546512,Silver,Call Quality,18.5,0,0,18,1,0
No Churn,0,14405,2667.33333,6090.66667,24,1.98039216,Silver,Billing Problem,4.8,0,0,24,1,0
Churn,1,8670,18476.6667,46371.6667,31,-0.0483532,Silver,Billing Problem,13.7,0,0,9,1,0
Churn,1,3856,212,2084,31,0,Gold,Call Quality,8.7,0,0,2,1,0
Churn,1,38680,58695,107774.333,18,-0.2778316,Silver,Billing Problem,12.5,0,0,3,1,0
Churn,1,5178,838.666667,4336,31,-1,Gold,Call Quality,37.7,0,0,6,1,0
Churn,1,15362,4874.33333,19061.6667,31,-0.1831325,Silver,Billing Problem,10.4,0,0,3,1,0
No Churn,0,14621,579,29490.6667,31,0.00169492,Silver,Billing Problem,0,0,0,0,1,0
No Churn,0,25424,23599.6667,163609.667,31,-0.5095693,Silver,Check Account,0,0,15,1,1,0
Churn,1,16020,4820,29623.3333,31,-0.3928036,Silver,Billing Problem,15.8,0,0,1,1,0
Churn,1,14584,3959.33333,20176.6667,31,0.17720951,Silver,Billing Problem,31.3,0,0,13,1,0
No Churn,0,5182,4742.33333,8079.33333,31,-0.9464286,Gold,Billing Problem,16.3,0,0,31,1,0
No Churn,0,15612,16923.6667,53168.6667,31,-0.0292276,Silver,Billing Problem,0,0,0,13,1,0
Churn,1,7206,720.333333,8732,31,-1,Gold,Billing Problem,23.2,0,0,11,1,0
No Churn,0,12102,1518.33333,1237.66667,31,2.46875,Gold,Billing Problem,15.1,0,0,17,1,0
No Churn,0,25474,5314,24916,31,-0.3236994,Silver,Moving,0,0,0,17,1,0
No Churn,0,3416,953.666667,8867,31,9.28571429,Gold,Call Quality,48.5,0,0,6,1,0
Churn,1,15254,0,126,16,0,Silver,Billing Problem,17,0,0,17,1,0
Churn,1,15716,23434.6667,69657.6667,31,-0.6814781,Silver,,25.2,0,0,7,1,0
No Churn,0,27270,19113,58287.6667,31,-0.0781332,Silver,Billing Problem,9.2,0,0,12,1,0
Churn,1,20339,10620.3333,36346.3333,31,-0.2359572,Silver,Billing Problem,19,0,0,14,1,0
Churn,1,37236,9141,66720,31,-1,Silver,Call Quality,12.3,0,0,5,1,0
Churn,1,21346,12132.6667,25403.6667,31,-0.9734054,Silver,Call Quality,24.5,0,0,25,1,0
Churn,1,10169,10133,31315.3333,31,-0.9915014,Silver,Billing Problem,21.8,0,66,6,1,0
No Churn,0,70660,19411,87074,31,-0.1553702,Silver,Billing Problem,7.3,0,0,4,1,0
No Churn,0,11653,7536.66667,6300.66667,31,-0.1205212,Silver,Billing Problem,7.8,0,0,17,1,0
Churn,1,21167,8575.66667,40208.6667,31,-0.7346939,Silver,Call Quality,15,0,0,2,1,0
Churn,1,15939,18897.3333,50863,31,-0.9931551,Silver,Billing Problem,31.2,0,0,13,1,0
No Churn,0,15426,6297,15005,31,-0.159132,Silver,Billing Problem,17,0,0,10,1,0
Churn,1,6282,7761.66667,26215.6667,31,2.92857143,Gold,Billing Problem,9.3,0,0,10,1,0
Churn,1,8661,236.666667,10284.6667,31,-0.9677419,Gold,Call Quality,19,0,0,31,1,0
Churn,1,12712,3432.33333,13925.6667,31,0.71966527,Silver,Call Quality,18.3,0,0,14,1,0
Churn,1,12755,19522.6667,73266.6667,31,-1,Silver,Billing Problem,19.8,0,0,2,1,0
No Churn,0,8474,7035.33333,19390.3333,31,-0.0014944,Silver,Billing Problem,11.1,0,0,13,1,0
No Churn,0,20274,3008,27896,31,0.43769968,Silver,Billing Problem,18.2,0,0,3,1,0
No Churn,0,15687,49279.6667,158461.333,31,-0.3048575,Silver,Billing Problem,7.6,0,8,5,1,0
Churn,1,15142,12484,61713,31,-0.9681416,Silver,Call Quality,16.5,0,0,5,1,0
No Churn,0,11955,7842.66667,14700.3333,31,0.07692308,Gold,Billing Problem,20.8,0,0,9,1,0
Churn,1,3781,0,11,31,-1,Silver,Call Quality,41.5,0,0,7,1,0
Churn,1,0,180.666667,1225.66667,31,-1,Gold,Pricing,3,0,0,31,1,0
No Churn,0,29873,3077,13169.6667,31,-0.0803987,Silver,Billing Problem,3.6,0,0,17,1,0
No Churn,0,3347,525.333333,17453,18,0,Gold,Billing Problem,56.7,0,0,0,1,0
No Churn,0,20852,3693.66667,21749,31,-0.2596154,Silver,Moving,4,0,0,19,1,0
No Churn,0,48499,41901.6667,118691.333,28,-0.240917,Silver,Billing Problem,8.7,0,0,20,1,0
Churn,1,24961,19114.6667,36527.3333,31,-0.5673726,Silver,Call Quality,21,0,0,1,1,0
No Churn,0,9054,2834,40373.3333,31,2,Gold,Billing Problem,0,0,0,3,1,0
Churn,1,19391,18666.3333,50978.3333,31,-1,Silver,Call Quality,7.6,0,0,3,1,0
No Churn,0,10169,11094.6667,41116.6667,31,-0.3601108,Silver,Billing Problem,2,0,0,11,1,0
Churn,1,11684,7806,26176,31,-0.9039146,Gold,Billing Problem,23,0,0,16,1,0
No Churn,0,14881,7816.33333,16031.3333,31,0.4015444,Silver,Billing Problem,7.4,0,0,4,1,0
No Churn,0,18967,4302,77325.3333,31,0.36313306,Silver,Moving,0,0,0,10,1,0
No Churn,0,19038,6388.33333,22063.3333,31,0.51534775,Silver,Billing Problem,4,0,0,19,1,0
Churn,1,4977,0,22.6666667,31,-1,Gold,Call Quality,19.8,0,0,31,1,0
No Churn,0,10169,3082.66667,8377.33333,31,0.29936306,Silver,Moving,4.3,0,0,1,1,0
No Churn,0,77393,48971,188759.333,31,-0.3401736,Silver,Billing Problem,23.2,0,134,3,1,0
No Churn,0,10169,7413,31387,31,0.28080368,Silver,Moving,8,0,0,1,1,0
No Churn,0,10652,2375,8030.66667,31,-0.2298851,Silver,Billing Problem,11.2,0,0,16,1,0
No Churn,0,3347,86,281.666667,31,-0.2298851,Silver,Billing Problem,11.2,0,0,16,1,0
No Churn,0,34052,6616,15364.6667,31,0.91596639,Silver,Billing Problem,1.3,0,0,2,1,0
Churn,1,3704,1401,12474.3333,31,0,Gold,Billing Problem,15.2,0,0,7,1,0
No Churn,0,10169,3615.33333,10093,31,0.02702703,Silver,Billing Problem,21,0,0,37,1,0
Churn,1,3347,0,0,31,0,Silver,Billing Problem,12.8,0,0,17,1,0
Churn,1,14210,17547.6667,32641,19,0.16584988,Silver,Billing Problem,14.7,0,0,22,1,0
No Churn,0,13118,4659.66667,34612.3333,31,0.16932907,Gold,Billing Problem,9.8,0,0,6,1,0
No Churn,0,14407,5109.66667,20031.6667,31,0.44444444,Silver,Billing Problem,23.8,0,0,4,1,0
Churn,1,16211,754.333333,24258.6667,31,-0.1538462,Silver,Billing Problem,23.5,0,0,7,1,0
No Churn,0,20366,6939.66667,34679,31,-0.0993521,Silver,Billing Problem,7.8,0,0,17,1,0
Churn,1,8053,3323.33333,23873.6667,31,-0.9702879,Silver,Billing Problem,44.3,0,0,6,1,0
No Churn,0,10650,1243,5080.66667,31,-0.1668933,Silver,Call Quality,26.3,0,0,7,1,0
Churn,1,10374,21569,19939.6667,31,-0.1123418,Silver,Call Quality,14.4,0,0,3,1,0
No Churn,0,16808,9352.66667,23990.6667,31,0.47720365,Gold,Billing Problem,1.8,0,0,31,1,0
No Churn,0,12607,3743,23057.3333,31,-0.2578616,Silver,Billing Problem,5.4,0,0,20,1,0
No Churn,0,12513,2740.66667,7267.66667,31,0.03759398,Gold,Moving,3,0,0,1,1,0
No Churn,0,25221,7667,63029,31,-0.0546022,Silver,Billing Problem,8,0,0,31,1,0
Churn,1,9180,4054.66667,786,31,1.43243243,Gold,Billing Problem,37,0,0,1,1,0
No Churn,0,11229,11338.6667,26234.3333,31,-0.2558636,Silver,Moving,9.2,0,0,17,1,0
Churn,1,3347,1051.66667,7415,22,-0.9277108,Gold,Call Quality,40,0,0,9,1,0
No Churn,0,20090,4276.33333,19979.6667,31,-0.4216867,Silver,Billing Problem,5.5,0,0,2,1,0
No Churn,0,14810,7746,26648.3333,31,-0.0252525,Silver,Call Quality,17.2,0,0,15,1,0
Churn,1,9987,10234,25952,30,-0.3394862,Silver,Billing Problem,9.5,0,0,13,1,0
No Churn,0,14546,11525.3333,54158.6667,30,-0.0188088,Silver,Billing Problem,4.8,0,0,4,1,0
No Churn,0,4237,8104.33333,45743.6667,30,-0.0985155,Silver,Billing Problem,10.2,0,0,10,1,0
Churn,1,22666,18878,71282.6667,30,-0.5284622,Silver,Call Quality,17.3,0,0,15,1,0
Churn,1,22660,11801,115317.667,15,-1,Silver,Billing Problem,28.6,0,0,24,1,0
Churn,1,29032,23364,62840,30,-0.2114804,Silver,Billing Problem,9,0,22,2,1,0
Churn,1,3347,1572.33333,4639.33333,30,0.08947368,Gold,Billing Problem,12.6,0,0,27,1,0
Churn,1,63743,20510.3333,63533.6667,27,-0.37022,Silver,Call Quality,29.5,0,0,7,1,0
Churn,1,10592,405.333333,16181,30,-1,Silver,Billing Problem,18.8,0,0,21,1,0
No Churn,0,10169,927,13854.6667,30,-0.2525253,Silver,Billing Problem,8,0,0,30,1,0
No Churn,0,38931,9461.66667,34989.3333,30,-0.0171149,Silver,Call Quality,13.2,0,0,11,1,0
Churn,1,16632,445.333333,111360.333,30,-0.4771615,Silver,Call Quality,7.7,0,0,16,1,0
No Churn,0,14407,8851.33333,38366,30,-0.2441315,Silver,Billing Problem,2.3,0,0,7,1,0
No Churn,0,15362,3544.33333,27628.3333,30,0.18085106,Silver,Moving,15.7,0,0,14,1,0
Churn,1,22936,3393,62583,21,0.00297508,Silver,Call Quality,17.5,0,0,4,1,0
Churn,1,16872,1677.66667,11247.6667,21,0.00297508,Silver,Call Quality,17.5,0,0,7,1,0
Churn,1,3347,1978,7555,30,-0.5938865,Silver,Moving,17,0,0,30,1,0
Churn,1,19613,1708.66667,23830.3333,30,-1,Silver,Billing Problem,29.4,0,0,6,1,0
Churn,1,10700,1629,13140.3333,30,-0.4421488,Silver,Billing Problem,15,0,0,6,1,0
Churn,1,5921,1616.33333,1330,30,-1,Gold,Inaccurate Sales Inf,20.3,0,0,31,1,0
Churn,1,10169,0,0,22,0,Silver,Call Quality,18.3,0,0,17,1,0
Churn,1,32963,78353.6667,228264,30,-0.262506,Silver,Billing Problem,23.2,0,0,12,1,0
Churn,1,18737,6843.66667,12881.3333,30,-0.5113171,Silver,Call Quality,15.6,0,0,3,1,0
Churn,1,16250,10007,17014,30,-0.5113171,Silver,Call Quality,15.6,0,0,4,1,0
No Churn,0,25311,5626.66667,21398,30,2.6997319,Silver,Call Quality,23.8,0,0,7,1,0
Churn,1,31330,13670.3333,49467.3333,30,0.31351351,Silver,Billing Problem,16.6,0,0,30,1,0
No Churn,0,12712,6429,58803.3333,30,-0.3453145,Silver,Moving,7.3,0,0,5,1,0
Churn,1,11814,9640.33333,29817,30,0.35034803,Silver,Call Quality,32,0,0,21,1,0
Churn,1,14407,23999.3333,66816.3333,30,-0.624031,Silver,Billing Problem,10.4,0,0,2,1,0
No Churn,0,6048,4836.66667,2560.66667,30,0.11864407,Gold,Billing Problem,18.6,0,0,11,1,0
Churn,1,21856,1133.33333,9193,30,-0.8333333,Silver,Call Quality,8.6,0,0,13,1,0
No Churn,0,10169,5244.66667,49380,30,0.03341584,Silver,Billing Problem,4.5,0,0,8,1,0
No Churn,0,12948,14163.6667,14937,19,0.11812627,Silver,Billing Problem,6.5,0,0,3,1,0
Churn,1,7669,271.666667,1448.66667,30,-1,Silver,Billing Problem,21.8,0,0,10,1,0
No Churn,0,10523,3139.66667,30128.6667,30,0.93322204,Silver,Moving,11.7,0,0,0,1,0
No Churn,0,3347,465.333333,3693,30,-0.755814,Gold,Moving,7.3,0,0,2,1,0
No Churn,0,30098,3304,5566,30,-0.8801775,Silver,Billing Problem,5.4,0,0,14,1,0
